ARS-ID,정류소명
02127,북창동.남대문시장
02128,시청앞
02131,삼성본관앞
02132,시청앞
02133,서소문
02134,서소문
02135,시청.서소문청사
02137,서울신문사
02139,우리은행종로지점
02140,롯데백화점
02141,해운센터.롯데영프라자
02142,롯데영프라자
02144,신세계앞
02145,남대문시장.회현역
02146,남대문시장.회현역
02147,남산3호터널
02148,남산3호터널.서울애니메이션센터
02149,명동입구
02150,퇴계로2가.명동역
02151,퇴계로3가.한옥마을.한국의집
02152,퇴계로3가.한옥마을.한국의집
02153,충무로역2번출구.대한극장앞
02154,충무로역8번출구.대한극장앞
02155,초동
02156,을지로입구.로얄호텔
02157,을지로입구.시청입구
02158,을지로2가.기업은행본점.서울노동청
02159,을지로2가.파인에비뉴
02160,을지로3가
02161,을지로3가
02162,을지로4가
02163,을지로4가.베스트웨스턴국도
02164,중구청앞.덕수중학교
02165,을지로5가
02166,을지로5가.중부시장
02167,방산시장.훈련원종합체육관
02168,을지로5가.훈련원종합체육관
02169,을지로6가.국립중앙의료원
02170,광희동
02171,광희동
02172,을지로6가.국립중앙의료원
02173,동대문역사문화공원
02174,동대문역사문화공원
02177,충무아트센터.스포츠센터.중부소방서
02178,충무아트센터.스포츠센터.중부소방서
02179,성동공업고등학교(무궁화회관)
02180,성동공업고등학교앞
02181,신당역.중앙시장앞
02182,신당역.중앙시장앞
02183,성동고등학교
02184,성동고등학교
02187,신당동떡볶이타운.중구여성플라자
02188,신당동떡볶이타운.중구여성플라자
02189,신당동.청구역
02190,신당동.청구역
02191,약수역2번출구.가온도서관
02192,약수역3번출구.약수하이츠
02193,약수역4번출구.금호터널입구
02194,약수역5번출구.금호터널입구
02195,약수역8번출구.신당사회복지관
02196,약수역7번출구.약수동주민센터
02197,송도병원앞
02198,송도병원앞
02199,약수역1번출구
02201,장충체육관앞
02202,장충체육관앞
02203,장충동.동국대입구
02204,장충동.동국대입구
02205,퇴계로6가
02206,퇴계로6가
02207,퇴계로5가
02208,퇴계로5가
02209,국립극장.반얀트리호텔
02210,국립극장.반얀트리호텔
02211,청구역
02212,청구역
02213,동화동
02214,동화동
02215,백범광장
02218,남대문경찰서
02219,남대문시장앞.이회영활동터
02220,남산케이블카.남산산책로입구
02221,숭의여대
02222,동대입구역.장충동
02223,약수역10번출구
02224,청계1가.광교
02225,청계2가.삼일교
02226,청계4가.배오개다리
02227,청계5가.방산시장
02228,청계6가.평화시장
02229,청계7가.동평화.청평화시장
02230,청계8가.영도교
02233,신한은행본점
02235,동대문역사문화공원
02236,버티고개
02237,버티고개
02240,청계3가.세운교
02241,청계6가.오간수교
02242,충무로역.매일경제
02246,을지로입구역.광교
02252,신당파인힐하나유보라
02253,명동국민은행앞
02254,남산북측순환로입구
02255,신당동삼성아파트.금호여중
02256,신당동대우푸르지오.금호여중
02257,황학동주민센터
02258,신당초등학교앞
02259,금호베스트빌.래미안하이베르
02260,금호베스트빌.래미안하이베르
02261,신당초등학교
02262,서대문경찰서.농협은행.유관순활동터
02269,교육연구정보원
02272,방산종합시장
02273,황학동롯데캐슬
02274,광희문.광희동사거리
02275,광희문.광희동사거리
02277,황학동롯데캐슬
02278,한국은행.신세계앞
02279,서울기동대.광희초등학교
02280,동대문디자인플라자
02281,서대문역사거리.농협중앙회
02282,서울스퀘어앞
02283,북창동.남대문시장
02284,힐튼호텔
02285,힐튼호텔
02286,시청앞.덕수궁
02287,남대문세무서.국가인권위원회
02288,장충문화체육센터.권기옥활동터
02289,남산1호터널
02290,남산케이블카
02291,남산예장버스환승주차장
02501,약수역.3.6호선
02502,조선일보
02503,시청역
02505,서울역
02506,숭례문앞
02507,프레스센터
02510,신당역하나은행
02513,염천교
02514,중림동입구.서소문성지역사박물관
02515,서울역서부
02516,한국경제신문사
02518,응봉근린공원.금호산
02519,서울방송고등학교.남산타운아파트
02520,서울방송고등학교.남산타운아파트
02521,중구청소년수련관.남산타운2상가
02522,중구청소년수련관.남산타운2상가
02523,약수시장.남산타운동문
02524,약수지구대
02641,시청광장
02685,서울역
02694,서울역
02901,광화문
02902,덕수궁
02903,남대문시장
02904,명동
02905,남산골한옥마을
02906,앰버서더호텔
02907,신라호텔
02908,동대문디자인플라자.동대문시장
02909,서울애니메이션센터
02919,남산케이블카
02920,동대문디자인프라자
02921,방산.중부시장
02922,을지로3가
02923,을지로입구
02925,명동입구
02926,신당동중앙시장
02927,남산오르미
03001,한강대교북단.LG유플러스
03002,한강대교북단.LG유플러스
03003,신용산역
03004,신용산역
03005,KT용산지사
03006,KT용산지사
03007,삼각지역
03008,삼각지역
03009,숙대입구역
03010,숙대입구역
03011,갈월동
03012,갈월동
03110,남영역
03111,남영역
03119,신용산역3번출구
03122,한강대교북단
03124,서계동
03125,서계동
03126,청파동
03127,청파시장
03128,숙대입구역.청파동주민센터
03129,숙대입구역.청파동주민센터
03130,남영역
03131,남영역
03132,용산전자상가17동
03133,용산전자상가19동
03134,용산전자상가10동
03135,용산전자상가12동
03136,용산전자상가.전자랜드
03137,용산전자상가.전자랜드
03138,원효대교북단
03139,용산경찰서
03140,용산경찰서
03141,용산꿈나무종합타운.원효로우체국
03142,용산e편한세상
03143,남정초등학교
03144,원효로2가
03145,원효로2가사거리
03146,원효로3가
03147,원효로3가
03148,용암초등학교입구.이태원주공아파트
03149,이태원동남산대림아파트.용산동아파트
03150,용산한신아파트
03151,해방촌
03152,국군재정관리단
03153,용산구청.크라운호텔
03154,용산구청.크라운호텔
03155,한강중학교
03156,한강중학교앞
03157,서빙고역1번출구
03158,장충단로입구
03159,남산예술원
03160,서울중부기술교육원.블루스퀘어
03161,서울시중부기술교육원.블루스퀘어
03162,순천향대학병원
03163,순천향대학병원
03164,순천향대학병원
03165,순천향대학병원.한남오거리
03166,한남5거리
03167,남산도서관.용산도서관
03168,남산도서관.용산도서관
03169,후암약수터
03170,후암약수터
03171,보성여중고입구
03172,보성여중고입구
03173,남산체육관
03174,남산체육관
03175,하얏트호텔
03176,하얏트호텔
03177,용마루고개(서울자동차고등학교)
03178,용마루고개.효창파크푸르지오아파트
03179,효창공원앞역.이봉창역사울림관
03180,효창공원앞역.이봉창역사울림관
03181,용산꿈나무종합타운.보건분소
03182,용산꿈나무종합타운.보건분소
03183,원효로제1동주민센터
03184,전쟁기념관
03185,전쟁기념관
03186,녹사평역
03187,녹사평역
03188,용산구청.이태원시장
03189,용산구청.이태원시장
03190,이태원역1번출구.해밀턴호텔
03191,이태원역4번출구.해밀턴호텔
03192,이태원119안전센터
03193,이태원119안전센터
03194,한남동새마을금고
03195,한남동주민센터
03196,한강진역.블루스퀘어
03197,한강진역.블루스퀘어
03198,서울역
03199,후암3거리
03200,후암시장
03201,후암시장
03202,용산중고
03203,용산중고
03204,후암동종점
03205,용산중고
03206,남영동주민센터
03207,남영동주민센터
03208,남영우체국
03209,남영우체국
03210,한남시범아파트
03211,한남시범아파트
03212,한남동
03213,한남동
03214,이촌동동부센트레빌
03215,이촌동두산위브트레지움.한강대우아파트
03216,이촌1동충신교회앞
03217,이촌동한가람아파트.이촌역
03218,이촌동한강맨션.이촌역
03219,신용산초등학교
03220,신용산초등학교
03221,이촌동강촌아파트
03222,이촌동점보아파트
03223,이촌동현대아파트
03224,금강병원.반도아파트
03225,서빙고신동아아파트
03226,서빙고신동아아파트
03227,만리동고개
03228,손기정체육공원
03229,숙대입구역
03230,남영역
03231,숙명여대도서관앞
03232,숙명여대도서관앞
03233,숙명여대정문
03234,숙명여대정문
03235,숙명여대후문.이봉창활동터
03236,효창공원후문
03237,한겨레신문사입구
03238,대한노인회
03239,효창운동장.효창동주민센터
03240,국민은행효창동지점
03241,서울금양초등학교.국민은행효창동지점
03242,효창공원역
03243,도원삼성래미안아파트
03244,도원삼성래미안아파트
03245,중앙하이츠빌라앞
03246,중앙하이츠빌라앞
03247,용문시장
03248,용문시장
03249,용산전자상가입구
03250,용산전자상가입구
03251,신용산.지하차도
03252,신용산.지하차도
03253,신용산역
03255,용산역
03256,용산푸르지오써밋
03257,용산푸르지오써밋
03258,용산역광장앞
03259,용산철도고등학교
03260,용산철도고등학교
03261,용산세무서
03262,용산세무서
03263,이촌역
03264,이촌역
03265,국립중앙박물관용산가족공원
03266,국립중앙박물관용산가족공원
03267,서빙고역교차로
03268,서빙고초등학교
03269,한강중학교
03270,금호베스트빌앞
03272,서빙고동
03273,서빙고동주민센터
03274,동빙고동
03275,동빙고동
03276,보광신동아아파트삼성리버빌아파트
03277,보광동신동아아파트
03278,보광동주민센터
03279,기업은행보광동지점
03280,기업은행보광동지점
03281,한국폴리텍1대학
03282,한국폴리텍1대학
03283,이태원역.보광동입구
03284,이태원역.보광동입구
03285,한남역.용산노인종합복지관
03286,한남역.용산노인종합복지관
03287,이촌119안전센터.성촌공원
03288,성촌공원.포르쉐센터용산
03289,성촌공원.포르쉐센터용산
03290,이촌2동주민센터
03291,이촌2동주민센터
03292,이촌2동대림아파트.새남터성지
03293,이촌2동대림아파트.새남터성지
03294,서부이촌동입구
03295,이촌2동강변아파트
03296,원효2동산호아파트후문
03297,청암동강변삼성아파트
03298,청암동강변삼성아파트
03299,원효2동산호아파트
03300,원효2동산호아파트
03301,원효로풍전아파트
03302,원효로풍전아파트
03303,원효풍전아파트
03304,원효2동주민센터
03305,산천동리버힐삼성아파트
03306,산천동
03307,산천동
03308,신창동세방아파트
03309,신창동세방아파트
03310,남이장군사당
03311,남이장군사당
03312,새마을금고
03313,새마을금고
03319,순천향병원입구
03320,남산서울타워
03321,청심경로당
03322,삼성테마트
03323,서빙고동금호베스트빌
03324,한남동하이페리온
03325,서빙고역1번출구
03326,문배동이안아파트앞
03327,갈월동4호선숙대입구
03328,삼각지역11번출구
03330,숙대입구
03331,원효대교북단
03332,문배동이안아파트앞
03334,순천향병원입구
03335,숙명여대입구
03336,서빙고초등학교
03338,한강대교전망카페
03339,한강대교전망카페
03340,노들섬
03341,노들섬
03342,용암초등학교.이태원2동주민센터
03343,용암초등학교.이태원2동주민센터
03344,효창공원삼거리.윤봉길의사등묘역
03345,서울역공항철도15번출구.국립극단
03346,용산꿈나무종합타운
03347,남산도서관
03500,하얏트호텔
03501,한신아파트
03502,순천향병원
03503,용암경로당입구
03504,한남오거리
03505,가야랑앞
03506,용암한신아파트
03508,효창공원후문
03509,디지텍고등학교앞
03510,우리들가정의원
03511,도원삼성래미안아파트101동앞
03512,성도약국
03513,남산교회입구
03515,신애교회
03516,시장
03517,해방촌오거리
03518,보광동주민센터
03519,대한노인회중앙회
03520,도원삼성래미안아파트101동앞
03521,신흥교회앞
03522,군인아파트
03523,원효사.백범김구기념관
03524,녹사평역
03525,큰빛의집앞
03526,몬드리안서울이태원
03529,후암동종점
03530,크라운호텔
03532,용산고등학교
03533,외빈차고
03534,효창공원앞역.이봉창역사울림관
03536,갈월동사회복지회관
03537,청화아파트
03538,동작대로(가상)
03540,용산경찰서
